Lux, Infrared, Visible, Full_Spectrum
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
100, 100, 100, 100
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
