All_Cores, Core 0, Core 1, Core 2, Core 3
10.0, 0, 14, 6, 20
11.25, 23, 8, 7, 7
8.5, 13, 0, 21, 0
8.75, 12, 0, 6, 17
9.75, 13, 20, 0, 6
8.25, 0, 13, 20, 0
9.25, 20, 0, 11, 6
12.0, 0, 33, 7, 8
20.75, 8, 28, 31, 16
10.0, 14, 13, 0, 13
8.25, 6, 13, 14, 0
13.0, 20, 18, 7, 7
6.5, 20, 0, 0, 6
5.25, 0, 14, 0, 7
3.5, 0, 7, 0, 7
8.25, 20, 0, 0, 13
10.0, 20, 6, 7, 7
8.5, 0, 0, 14, 20
11.25, 20, 6, 13, 6
10.25, 7, 7, 13, 14
18.25, 21, 21, 16, 15
9.75, 7, 0, 20, 12
6.5, 0, 12, 0, 14
9.75, 7, 13, 6, 13
6.75, 7, 7, 7, 6
6.75, 14, 0, 13, 0
8.25, 13, 7, 6, 7
10.25, 14, 20, 7, 0
6.75, 14, 0, 0, 13
8.75, 0, 6, 12, 17
8.5, 7, 6, 7, 14
13.75, 14, 14, 13, 14
22.5, 23, 14, 30, 23
15.5, 17, 13, 18, 14
8.5, 0, 20, 14, 0
10.0, 0, 0, 20, 20
9.75, 13, 6, 13, 7
9.5, 13, 18, 0, 7
7.0, 14, 0, 0, 14
10.0, 12, 14, 7, 7
11.5, 14, 12, 7, 13
7.75, 7, 6, 0, 18
5.25, 0, 0, 14, 7
5.5, 0, 15, 0, 7
18.25, 8, 25, 25, 15
6.25, 13, 12, 0, 0
7.75, 13, 0, 6, 12
8.0, 7, 6, 6, 13
10.0, 0, 0, 20, 20
8.0, 13, 7, 6, 6
8.25, 13, 0, 20, 0
5.0, 0, 14, 6, 0
7.0, 14, 0, 0, 14
11.25, 18, 14, 6, 7
10.0, 13, 14, 0, 13
13.0, 14, 6, 7, 25
26.0, 21, 26, 31, 26
8.5, 13, 7, 7, 7
5.0, 0, 0, 7, 13
5.25, 0, 7, 7, 7
9.25, 6, 13, 12, 6
6.75, 0, 6, 7, 14
11.25, 14, 12, 6, 13
6.75, 13, 7, 0, 7
6.25, 12, 0, 0, 13
6.75, 13, 0, 7, 7
9.25, 13, 0, 18, 6
8.25, 20, 0, 13, 0
23.75, 23, 35, 14, 23
4.0, 8, 0, 8, 0
6.5, 12, 0, 7, 7
8.0, 20, 0, 12, 0
11.5, 6, 6, 21, 13
11.5, 14, 6, 13, 13
10.25, 20, 0, 0, 21
6.5, 7, 6, 13, 0
11.0, 0, 17, 14, 13
7.75, 6, 6, 13, 6
11.0, 13, 6, 25, 0
10.0, 20, 13, 0, 7
15.75, 20, 7, 20, 16
22.75, 35, 16, 10, 30
8.25, 0, 13, 0, 20
8.5, 7, 6, 14, 7
7.0, 0, 14, 0, 14
12.5, 22, 7, 8, 13
8.0, 6, 13, 0, 13
8.25, 0, 14, 6, 13
6.75, 0, 14, 0, 13
10.5, 7, 14, 7, 14
8.5, 0, 14, 0, 20
11.25, 13, 6, 12, 14
20.0, 25, 9, 23, 23
10.5, 9, 18, 8, 7
8.25, 13, 13, 7, 0
7.25, 8, 0, 14, 7
11.0, 13, 13, 18, 0
11.5, 7, 13, 14, 12
6.75, 14, 13, 0, 0
7.0, 0, 0, 14, 14
6.0, 6, 6, 6, 6
8.5, 14, 14, 0, 6
7.0, 14, 7, 0, 7
9.5, 18, 6, 0, 14
12.5, 7, 14, 14, 15
16.5, 15, 0, 20, 31
7.0, 7, 7, 7, 7
6.5, 0, 7, 12, 7
9.75, 20, 6, 0, 13
6.0, 6, 6, 12, 0
6.75, 6, 7, 7, 7
7.0, 14, 14, 0, 0
8.5, 21, 0, 0, 13
8.25, 7, 14, 0, 12
8.25, 0, 13, 0, 20
11.25, 13, 12, 6, 14
17.25, 26, 7, 15, 21
5.0, 7, 0, 6, 7
5.25, 7, 14, 0, 0
10.0, 14, 0, 12, 14
8.0, 7, 18, 0, 7
8.25, 7, 7, 13, 6
4.75, 13, 0, 0, 6
8.25, 6, 13, 14, 0
8.75, 7, 14, 7, 7
9.5, 20, 0, 18, 0
13.0, 13, 20, 12, 7
8.0, 0, 7, 12, 13
18.5, 28, 13, 7, 26
20.0, 21, 26, 26, 7
8.25, 6, 20, 7, 0
8.25, 20, 0, 7, 6
6.75, 6, 14, 7, 0
11.75, 16, 18, 6, 7
6.5, 7, 6, 13, 0
8.75, 14, 0, 14, 7
13.75, 18, 18, 13, 6
10.25, 7, 13, 7, 14
10.5, 23, 0, 6, 13
9.75, 13, 6, 14, 6
20.25, 23, 14, 21, 23
17.0, 28, 7, 26, 7
11.5, 25, 14, 7, 0
7.75, 6, 7, 0, 18
9.25, 0, 17, 7, 13
6.5, 7, 0, 12, 7
7.0, 7, 7, 7, 7
8.0, 7, 6, 6, 13
12.5, 12, 18, 13, 7
6.75, 7, 0, 20, 0
8.25, 14, 0, 13, 6
10.0, 6, 14, 6, 14
18.25, 23, 8, 26, 16
22.75, 33, 15, 28, 15
8.25, 13, 0, 13, 7
6.75, 0, 0, 13, 14
9.75, 0, 13, 13, 13
9.0, 6, 18, 12, 0
4.75, 0, 0, 7, 12
10.0, 14, 7, 13, 6
8.0, 13, 13, 6, 0
8.5, 21, 0, 13, 0
9.25, 13, 6, 18, 0
12.0, 14, 14, 13, 7
8.75, 7, 14, 7, 7
26.5, 33, 33, 33, 7
5.5, 0, 15, 7, 0
11.25, 0, 18, 14, 13
7.0, 0, 14, 0, 14
10.75, 6, 6, 13, 18
10.0, 20, 0, 13, 7
9.25, 7, 0, 12, 18
8.75, 14, 0, 7, 14
8.25, 0, 20, 0, 13
11.25, 7, 12, 12, 14
8.25, 14, 6, 0, 13
10.0, 7, 7, 20, 6
9.25, 15, 0, 15, 7
1.75, 0, 0, 0, 7
6.25, 6, 7, 0, 12
11.25, 6, 14, 12, 13
7.25, 15, 0, 0, 14
7.0, 14, 0, 0, 14
9.5, 6, 14, 6, 12
11.0, 7, 17, 7, 13
9.75, 14, 6, 13, 6
10.75, 6, 18, 7, 12
10.0, 6, 14, 13, 7
10.25, 0, 13, 14, 14
22.0, 23, 21, 16, 28
7.0, 0, 14, 14, 0
8.25, 20, 0, 0, 13
6.75, 7, 14, 0, 6
11.0, 6, 6, 7, 25
6.5, 0, 0, 13, 13
7.0, 14, 7, 0, 7
6.5, 0, 7, 6, 13
8.25, 6, 6, 14, 7
7.75, 14, 0, 17, 0
6.5, 13, 13, 0, 0
24.0, 16, 33, 26, 21
25.5, 20, 20, 31, 31
8.0, 13, 0, 6, 13
9.75, 13, 13, 0, 13
8.0, 6, 7, 6, 13
3.5, 7, 0, 0, 7
9.0, 6, 6, 18, 6
3.25, 7, 6, 0, 0
8.5, 7, 13, 0, 14
8.5, 7, 6, 21, 0
4.75, 6, 7, 6, 0
8.5, 14, 7, 7, 6
30.0, 31, 16, 47, 26
17.25, 21, 15, 15, 18
6.25, 0, 6, 13, 6
9.75, 7, 12, 20, 0
6.25, 13, 6, 0, 6
6.5, 7, 0, 12, 7
10.0, 0, 20, 6, 14
9.25, 6, 6, 12, 13
8.5, 13, 7, 0, 14
10.25, 20, 14, 0, 7
6.5, 6, 7, 0, 13
5.25, 7, 7, 0, 7
14.25, 14, 28, 0, 15
19.25, 21, 26, 23, 7
6.75, 7, 13, 7, 0
11.0, 0, 18, 13, 13
8.5, 20, 0, 0, 14
9.75, 0, 13, 13, 13
10.25, 0, 20, 14, 7
10.25, 0, 7, 20, 14
3.5, 0, 0, 7, 7
3.5, 7, 7, 0, 0
6.75, 6, 14, 7, 0
8.5, 20, 0, 0, 14
16.75, 7, 13, 26, 21
24.5, 16, 21, 21, 40
10.25, 7, 0, 20, 14
8.0, 13, 6, 7, 6
9.5, 14, 6, 18, 0
8.5, 13, 6, 15, 0
6.75, 20, 0, 7, 0
8.0, 13, 6, 13, 0
13.0, 6, 13, 13, 20
11.75, 14, 6, 15, 12
8.25, 14, 0, 7, 12
7.5, 12, 0, 6, 12
22.5, 28, 14, 13, 35
26.25, 25, 26, 47, 7
9.75, 6, 20, 0, 13
8.5, 14, 0, 7, 13
5.25, 7, 14, 0, 0
10.0, 7, 14, 13, 6
9.0, 21, 0, 0, 15
6.5, 13, 13, 0, 0
7.0, 7, 7, 7, 7
4.75, 6, 13, 0, 0
6.25, 0, 12, 0, 13
11.75, 13, 20, 0, 14
14.5, 15, 15, 14, 14
10.0, 15, 7, 9, 9
8.25, 13, 6, 14, 0
10.0, 20, 0, 13, 7
10.0, 0, 14, 13, 13
6.25, 0, 13, 6, 6
13.5, 20, 7, 7, 20
10.0, 0, 13, 13, 14
4.75, 0, 7, 12, 0
9.5, 14, 6, 0, 18
8.5, 0, 0, 20, 14
10.0, 7, 7, 20, 6
17.75, 16, 14, 33, 8
16.5, 8, 15, 28, 15
6.5, 6, 0, 13, 7
6.75, 13, 0, 14, 0
8.25, 6, 20, 0, 7
8.5, 0, 14, 20, 0
6.75, 13, 0, 14, 0
10.25, 14, 7, 6, 14
6.5, 0, 0, 13, 13
11.75, 20, 14, 6, 7
8.25, 6, 14, 13, 0
8.25, 0, 13, 6, 14
23.0, 26, 35, 18, 13
18.0, 35, 9, 7, 21
7.5, 0, 18, 0, 12
7.5, 0, 17, 6, 7
8.0, 12, 6, 14, 0
6.75, 6, 7, 6, 8
6.75, 0, 13, 7, 7
5.25, 0, 14, 7, 0
5.0, 0, 0, 13, 7
5.0, 0, 7, 7, 6
9.25, 13, 18, 6, 0
9.0, 0, 18, 18, 0
17.5, 16, 16, 31, 7
18.25, 10, 33, 15, 15
10.25, 14, 13, 7, 7
5.0, 6, 7, 0, 7
9.25, 7, 17, 0, 13
9.75, 7, 12, 6, 14
11.0, 0, 13, 14, 17
11.5, 7, 6, 13, 20
8.25, 13, 7, 0, 13
3.5, 0, 0, 7, 7
11.5, 13, 20, 7, 6
13.25, 6, 20, 7, 20
8.0, 13, 6, 6, 7
22.5, 30, 28, 18, 14
11.5, 26, 14, 6, 0
10.0, 0, 6, 14, 20
6.75, 14, 6, 7, 0
6.75, 6, 7, 6, 8
5.5, 8, 0, 7, 7
11.75, 6, 13, 14, 14
7.75, 18, 6, 7, 0
8.75, 7, 6, 7, 15
11.5, 20, 6, 7, 13
6.5, 6, 6, 14, 0
12.75, 6, 12, 13, 20
22.5, 42, 9, 16, 23
23.5, 31, 33, 15, 15
10.0, 0, 20, 0, 20
6.75, 6, 7, 0, 14
10.0, 20, 0, 6, 14
11.5, 13, 14, 6, 13
8.0, 7, 13, 6, 6
8.25, 20, 0, 7, 6
11.25, 14, 0, 13, 18
9.75, 0, 18, 7, 14
9.25, 25, 0, 12, 0
9.75, 6, 0, 20, 13
14.25, 15, 7, 14, 21
14.5, 0, 9, 14, 35
6.75, 20, 0, 7, 0
3.25, 0, 0, 13, 0
8.5, 7, 0, 20, 7
8.25, 0, 14, 6, 13
8.0, 0, 6, 13, 13
5.0, 6, 0, 7, 7
11.25, 0, 0, 20, 25
5.0, 0, 13, 0, 7
8.0, 13, 6, 7, 6
8.25, 13, 7, 13, 0
21.0, 30, 8, 25, 21
13.75, 25, 14, 7, 9
9.75, 6, 13, 20, 0
6.5, 0, 13, 6, 7
5.25, 0, 0, 7, 14
5.0, 7, 0, 6, 7
6.75, 15, 0, 6, 6
6.75, 7, 7, 6, 7
9.75, 13, 6, 0, 20
6.75, 7, 0, 6, 14
6.75, 6, 7, 0, 14
11.0, 14, 6, 18, 6
12.75, 0, 25, 13, 13
26.5, 33, 7, 26, 40
9.75, 20, 13, 0, 6
6.5, 0, 13, 0, 13
11.25, 20, 6, 6, 13
6.75, 6, 0, 14, 7
10.25, 14, 14, 6, 7
12.5, 13, 25, 6, 6
6.5, 7, 12, 7, 0
11.0, 7, 6, 18, 13
10.0, 6, 14, 6, 14
6.5, 0, 0, 13, 13
21.25, 26, 20, 25, 14
14.75, 27, 8, 15, 9
10.0, 13, 6, 14, 7
9.75, 20, 0, 13, 6
7.75, 6, 13, 12, 0
4.75, 7, 0, 6, 6
11.5, 0, 14, 25, 7
6.75, 0, 0, 20, 7
10.0, 7, 13, 14, 6
8.5, 20, 0, 7, 7
8.25, 6, 14, 0, 13
6.5, 0, 0, 13, 13
20.5, 28, 26, 7, 21
25.75, 23, 21, 31, 28
6.75, 7, 0, 6, 14
13.0, 7, 20, 13, 12
10.0, 20, 0, 13, 7
6.75, 7, 0, 7, 13
6.5, 6, 0, 13, 7
6.75, 6, 14, 7, 0
11.25, 7, 12, 13, 13
8.25, 7, 0, 13, 13
11.75, 13, 13, 14, 7
8.0, 13, 13, 0, 6
13.5, 7, 7, 25, 15
24.75, 28, 28, 20, 23
9.75, 6, 0, 20, 13
11.75, 6, 20, 7, 14
11.75, 0, 14, 20, 13
8.0, 0, 13, 6, 13
11.5, 18, 0, 14, 14
9.75, 7, 12, 6, 14
4.75, 0, 6, 6, 7
8.5, 7, 14, 0, 13
8.25, 13, 0, 7, 13
10.0, 6, 14, 7, 13
20.75, 21, 15, 31, 16
18.75, 30, 23, 8, 14
7.75, 6, 7, 18, 0
7.0, 0, 7, 14, 7
8.25, 13, 6, 0, 14
12.5, 13, 20, 0, 17
9.5, 18, 0, 20, 0
10.0, 7, 20, 6, 7
8.0, 0, 18, 14, 0
8.25, 20, 0, 6, 7
5.0, 7, 6, 0, 7
8.0, 13, 0, 13, 6
22.0, 14, 40, 14, 20
11.75, 7, 33, 0, 7
9.25, 17, 0, 6, 14
5.0, 6, 0, 0, 14
3.5, 7, 0, 0, 7
9.75, 20, 6, 0, 13
8.5, 0, 20, 0, 14
3.5, 0, 0, 7, 7
8.0, 14, 0, 0, 18
10.75, 13, 0, 17, 13
9.75, 7, 13, 12, 7
8.25, 14, 13, 0, 6
22.25, 0, 31, 33, 25
17.5, 21, 28, 14, 7
10.25, 0, 14, 14, 13
8.25, 14, 6, 0, 13
10.5, 12, 11, 6, 13
10.0, 13, 14, 7, 6
5.0, 0, 13, 7, 0
8.25, 13, 0, 13, 7
7.75, 0, 12, 6, 13
6.75, 20, 0, 7, 0
9.5, 12, 12, 7, 7
9.75, 7, 13, 13, 6
19.0, 28, 20, 13, 15
24.5, 28, 14, 23, 33
9.5, 6, 6, 13, 13
8.25, 13, 0, 6, 14
6.75, 0, 14, 7, 6
6.5, 13, 6, 7, 0
7.75, 13, 6, 6, 6
10.25, 20, 14, 7, 0
9.25, 13, 12, 6, 6
10.0, 20, 0, 7, 13
10.0, 6, 6, 13, 15
5.5, 0, 15, 7, 0
10.0, 13, 20, 7, 0
30.25, 33, 35, 26, 27
9.75, 26, 0, 13, 0
5.25, 0, 7, 7, 7
9.5, 0, 25, 13, 0
9.5, 0, 13, 0, 25
6.75, 0, 7, 7, 13
5.0, 6, 0, 7, 7
8.25, 13, 0, 0, 20
12.0, 23, 6, 6, 13
14.0, 12, 25, 13, 6
8.5, 13, 0, 7, 14
12.25, 13, 7, 14, 15
23.75, 28, 16, 28, 23
7.25, 0, 14, 7, 8
8.0, 12, 0, 20, 0
11.25, 7, 14, 7, 17
6.75, 0, 7, 6, 14
8.75, 14, 14, 0, 7
10.0, 20, 0, 0, 20
4.75, 0, 13, 6, 0
10.0, 21, 13, 6, 0
7.0, 0, 14, 7, 7
9.75, 14, 6, 7, 12
9.25, 13, 6, 6, 12
31.0, 20, 33, 40, 31
1.75, 0, 0, 7, 0
5.0, 7, 0, 6, 7
10.5, 22, 6, 0, 14
8.0, 7, 12, 13, 0
8.0, 13, 0, 13, 6
9.5, 7, 6, 7, 18
6.75, 13, 0, 14, 0
6.75, 13, 0, 7, 7
8.25, 14, 6, 6, 7
9.5, 13, 13, 6, 6
6.5, 6, 7, 7, 6
11.5, 7, 0, 14, 25
26.25, 30, 21, 28, 26
10.0, 14, 0, 12, 14
6.25, 0, 0, 12, 13
8.0, 6, 13, 6, 7
8.5, 14, 6, 0, 14
10.0, 13, 7, 20, 0
11.0, 13, 0, 25, 6
8.0, 6, 13, 0, 13
8.25, 12, 7, 14, 0
8.0, 18, 0, 14, 0
11.25, 25, 14, 0, 6
24.0, 9, 33, 33, 21
20.75, 33, 0, 20, 30
6.5, 6, 6, 7, 7
3.5, 0, 7, 7, 0
11.25, 23, 8, 0, 14
9.75, 0, 13, 13, 13
3.25, 0, 0, 6, 7
13.5, 14, 20, 6, 14
11.25, 7, 0, 25, 13
7.75, 7, 6, 0, 18
6.5, 6, 6, 7, 7
7.75, 18, 0, 6, 7
15.0, 0, 33, 7, 20
23.0, 38, 8, 28, 18
8.0, 13, 6, 13, 0
8.5, 20, 0, 0, 14
7.75, 13, 13, 0, 5
7.5, 0, 17, 6, 7
