Lux, Infrared, Visible, Full_Spectrum
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.0, 0, 0, 0
0.16319999999999998, 0, 1, 1
-0.044064, 1, 65536, 65537
0.05875200000000001, 1, 65537, 65538
-0.044064, 1, 65536, 65537
0.0, 0, 0, 0
0.05875200000000001, 1, 65537, 65538
0.5483520000000001, 1, 65540, 65541
0.607104, 2, 131077, 131079
0.711552, 1, 65541, 65542
0.5483520000000001, 1, 65540, 65541
0.5483520000000001, 1, 65540, 65541
0.711552, 1, 65541, 65542
0.711552, 1, 65541, 65542
0.7703040000000001, 2, 131078, 131080
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.259904, 2, 131081, 131083
1.0967040000000001, 2, 131081, 131083
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.259904, 2, 131081, 131083
1.259904, 2, 131080, 131082
1.259904, 2, 131081, 131083
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.259904, 2, 131081, 131083
1.259904, 2, 131081, 131083
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.259904, 2, 131081, 131083
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
1.0967040000000001, 2, 131080, 131082
