Accelerometer_x_axis, Accelerometer_y_axis, Accelerometer_z_axis
0.392266, -2.157463, 8.747531799999999
0.3530394, -2.1182364, 8.7867584
0.3530394, -2.1182364, 8.747531799999999
0.3530394, -2.0790097999999997, 8.7867584
0.3530394, -2.1182364, 8.747531799999999
0.392266, -2.1182364, 8.7867584
0.3138128, -2.157463, 8.825985
0.3530394, -2.1182364, 8.747531799999999
0.3138128, -2.157463, 8.825985
0.3530394, -2.1182364, 8.669078599999999
0.3530394, -2.157463, 8.7867584
0.3138128, -2.1182364, 8.7083052
0.392266, -2.157463, 8.747531799999999
0.3530394, -2.1182364, 8.747531799999999
0.3530394, -2.1182364, 8.7083052
0.3530394, -2.157463, 8.747531799999999
0.3138128, -2.1182364, 8.747531799999999
0.3530394, -2.157463, 8.7083052
0.3530394, -2.157463, 8.747531799999999
0.392266, -2.1966896, 8.825985
0.3138128, -2.1182364, 8.7083052
0.3138128, -2.1182364, 8.747531799999999
0.3138128, -2.1182364, 8.7867584
0.3530394, -2.0790097999999997, 8.747531799999999
0.3138128, -2.1182364, 8.7083052
0.3138128, -2.1182364, 8.747531799999999
0.3138128, -2.0790097999999997, 8.7083052
0.3530394, -2.1182364, 8.7083052
0.3530394, -2.1182364, 8.747531799999999
0.3138128, -2.1182364, 8.747531799999999
0.392266, -2.1182364, 8.747531799999999
0.3138128, -2.157463, 8.7083052
0.3138128, -2.157463, 8.7083052
0.3530394, -2.157463, 8.7083052
0.3138128, -2.1182364, 8.7083052
0.3530394, -2.1966896, 8.747531799999999
0.3530394, -2.1182364, 8.7083052
0.392266, -2.157463, 8.747531799999999
0.3138128, -2.157463, 8.747531799999999
0.3138128, -2.1182364, 8.747531799999999
0.3530394, -2.157463, 8.7867584
0.3530394, -2.157463, 8.7083052
0.3530394, -2.1182364, 8.747531799999999
0.392266, -2.1182364, 8.669078599999999
0.3138128, -2.1182364, 8.7867584
0.392266, -2.157463, 8.747531799999999
0.3530394, -2.1182364, 8.747531799999999
0.392266, -2.1182364, 8.747531799999999
0.3530394, -2.1182364, 8.747531799999999
0.3138128, -2.157463, 8.747531799999999
0.3138128, -2.157463, 8.747531799999999
0.3530394, -2.1182364, 8.7083052
0.3530394, -2.1182364, 8.747531799999999
0.3530394, -2.157463, 8.7867584
0.3530394, -2.1182364, 8.747531799999999
0.3530394, -2.157463, 8.7083052
0.3138128, -2.157463, 8.669078599999999
0.3138128, -2.1182364, 8.747531799999999
0.3530394, -2.1182364, 8.669078599999999
0.392266, -2.1182364, 8.7083052
0.3138128, -2.1182364, 8.629852
0.3530394, -2.157463, 8.747531799999999
0.3530394, -2.1182364, 8.669078599999999
0.3138128, -2.1182364, 8.669078599999999
0.3530394, -2.157463, 8.7083052
0.3530394, -2.1182364, 8.7083052
0.3530394, -2.1966896, 8.669078599999999
0.3530394, -2.157463, 8.7083052
0.3138128, -2.157463, 8.7083052
0.3530394, -2.1182364, 8.7083052
0.3530394, -2.157463, 8.629852
0.3138128, -2.1182364, 8.7083052
0.3530394, -2.1182364, 8.747531799999999
0.3530394, -2.157463, 8.669078599999999
0.392266, -2.157463, 8.747531799999999
0.3138128, -2.1182364, 8.669078599999999
0.3138128, -2.1182364, 8.7083052
0.3530394, -2.1182364, 8.629852
0.3530394, -2.157463, 8.629852
0.3530394, -2.157463, 8.669078599999999
0.3530394, -2.157463, 8.669078599999999
0.3530394, -2.157463, 8.7083052
0.3530394, -2.157463, 8.7083052
0.3138128, -2.157463, 8.747531799999999
0.392266, -2.157463, 8.7083052
0.3530394, -2.0790097999999997, 8.7083052
0.3138128, -2.1182364, 8.7083052
0.3530394, -2.1182364, 8.669078599999999
0.3138128, -2.1182364, 8.7083052
0.3530394, -2.1182364, 8.7083052
0.3530394, -2.157463, 8.669078599999999
0.3530394, -2.1966896, 8.669078599999999
0.3530394, -2.1182364, 8.747531799999999
0.3138128, -2.157463, 8.7083052
0.3530394, -2.157463, 8.7083052
0.392266, -2.1182364, 8.7083052
0.3138128, -2.1182364, 8.747531799999999
0.3530394, -2.157463, 8.669078599999999
0.3530394, -2.1182364, 8.629852
0.3530394, -2.1182364, 8.669078599999999
0.3530394, -2.157463, 8.669078599999999
0.3530394, -2.157463, 8.7083052
0.3530394, -2.157463, 8.629852
0.3530394, -2.0790097999999997, 8.7083052
0.3138128, -2.157463, 8.669078599999999
0.3530394, -2.157463, 8.7083052
0.3530394, -2.1182364, 8.7083052
0.3138128, -2.157463, 8.669078599999999
0.3138128, -2.1182364, 8.7083052
0.3138128, -2.157463, 8.7083052
0.3530394, -2.157463, 8.747531799999999
0.3530394, -2.157463, 8.629852
0.3138128, -2.157463, 8.7083052
0.3138128, -2.1182364, 8.669078599999999
0.392266, -2.157463, 8.629852
0.3530394, -2.1182364, 8.669078599999999
0.3138128, -2.0790097999999997, 8.669078599999999
0.392266, -2.157463, 8.629852
0.3138128, -2.1182364, 8.669078599999999
0.3138128, -2.157463, 8.629852
0.3138128, -2.1182364, 8.629852
0.3530394, -2.157463, 8.629852
0.3138128, -2.1182364, 8.669078599999999
0.3530394, -2.1182364, 8.669078599999999
0.3138128, -2.1182364, 8.7083052
0.3138128, -2.0790097999999997, 8.669078599999999
0.3530394, -2.157463, 8.590625399999999
0.3530394, -2.0790097999999997, 8.629852
0.3138128, -2.1182364, 8.629852
0.3530394, -2.157463, 8.629852
0.3530394, -2.1182364, 8.629852
0.3530394, -2.1182364, 8.669078599999999
0.392266, -2.157463, 8.5513988
0.3530394, -2.157463, 8.629852
0.3530394, -2.157463, 8.669078599999999
0.3530394, -2.1966896, 8.590625399999999
0.3530394, -2.157463, 8.590625399999999
0.3530394, -2.157463, 8.629852
0.3138128, -2.1182364, 8.590625399999999
0.3530394, -2.157463, 8.629852
0.3138128, -2.1966896, 8.669078599999999
0.3138128, -2.0790097999999997, 8.629852
0.3530394, -2.1182364, 8.7083052
0.3530394, -2.1182364, 8.669078599999999
0.392266, -2.157463, 8.590625399999999
0.392266, -2.1182364, 8.669078599999999
0.3138128, -2.1182364, 8.629852
0.3530394, -2.1966896, 8.590625399999999
0.3530394, -2.1182364, 8.5513988
0.392266, -2.1966896, 8.629852
0.392266, -2.1182364, 8.669078599999999
0.3530394, -2.157463, 8.629852
0.392266, -2.157463, 8.629852
0.3530394, -2.1182364, 8.629852
0.3530394, -2.1182364, 8.590625399999999
0.3530394, -2.157463, 8.590625399999999
0.3530394, -2.1182364, 8.590625399999999
0.392266, -2.1966896, 8.629852
0.3530394, -2.157463, 8.590625399999999
0.3138128, -2.157463, 8.5513988
0.3530394, -2.157463, 8.629852
0.392266, -2.1182364, 8.590625399999999
0.3138128, -2.157463, 8.590625399999999
0.3530394, -2.0790097999999997, 8.629852
0.3530394, -2.157463, 8.629852
0.3530394, -2.1182364, 8.629852
0.3530394, -2.157463, 8.590625399999999
0.3138128, -2.157463, 8.629852
0.392266, -2.1182364, 8.5513988
0.3530394, -2.1182364, 8.669078599999999
0.3530394, -2.157463, 8.590625399999999
0.3530394, -2.157463, 8.590625399999999
0.3138128, -2.157463, 8.629852
0.3138128, -2.157463, 8.629852
0.392266, -2.157463, 8.590625399999999
0.3530394, -2.157463, 8.590625399999999
0.3530394, -2.157463, 8.590625399999999
0.392266, -2.157463, 8.5513988
