All_Cores, Core 0, Core 1, Core 2, Core 3
9.25, 8, 14, 15, 0
5.0, 0, 7, 13, 0
3.25, 6, 0, 0, 7
7.75, 13, 6, 6, 6
7.0, 0, 14, 7, 7
8.25, 7, 6, 14, 6
6.25, 13, 0, 6, 6
6.5, 13, 0, 7, 6
3.0, 0, 6, 6, 0
8.25, 6, 14, 0, 13
11.5, 7, 12, 13, 14
10.25, 7, 13, 14, 7
10.0, 0, 7, 20, 13
18.0, 21, 18, 20, 13
6.75, 7, 6, 7, 7
6.5, 7, 6, 13, 0
6.75, 7, 7, 7, 6
6.25, 0, 7, 18, 0
9.25, 6, 18, 7, 6
8.25, 20, 0, 6, 7
5.25, 0, 7, 14, 0
6.25, 0, 7, 18, 0
5.0, 0, 0, 13, 7
6.25, 0, 18, 7, 0
14.75, 15, 20, 18, 6
18.5, 35, 15, 15, 9
6.75, 7, 7, 7, 6
6.25, 0, 0, 12, 13
4.75, 0, 0, 6, 13
6.75, 13, 0, 7, 7
9.75, 0, 13, 13, 13
5.0, 7, 0, 6, 7
8.25, 13, 0, 6, 14
9.75, 12, 0, 7, 20
6.75, 13, 0, 7, 7
6.75, 7, 6, 7, 7
5.25, 0, 14, 7, 0
4.0, 0, 0, 8, 8
4.75, 0, 6, 6, 7
6.75, 7, 0, 0, 20
9.5, 0, 0, 25, 13
8.5, 0, 0, 20, 14
6.5, 13, 6, 0, 7
7.0, 14, 0, 7, 7
6.75, 0, 6, 14, 7
10.0, 0, 6, 20, 14
8.5, 20, 0, 0, 14
7.25, 0, 0, 15, 14
6.25, 0, 12, 7, 6
6.75, 14, 0, 7, 6
7.0, 0, 14, 7, 7
6.5, 0, 6, 7, 13
12.25, 18, 18, 6, 7
6.0, 0, 0, 6, 18
8.5, 0, 0, 20, 14
11.0, 13, 13, 6, 12
24.0, 21, 26, 28, 21
15.5, 20, 14, 14, 14
15.75, 20, 7, 7, 29
6.75, 0, 0, 14, 13
12.25, 27, 7, 8, 7
9.75, 7, 6, 20, 6
10.5, 14, 7, 7, 14
10.0, 13, 0, 14, 13
7.75, 8, 7, 8, 8
25.0, 23, 23, 31, 23
14.5, 14, 17, 7, 20
10.25, 14, 0, 20, 7
9.5, 17, 7, 14, 0
6.5, 0, 0, 13, 13
7.0, 0, 14, 14, 0
7.0, 0, 14, 14, 0
5.0, 0, 13, 0, 7
6.75, 6, 0, 14, 7
27.75, 35, 25, 35, 16
9.5, 0, 18, 20, 0
7.5, 0, 15, 0, 15
7.0, 7, 0, 14, 7
10.0, 13, 14, 0, 13
7.0, 0, 14, 0, 14
8.0, 12, 0, 13, 7
8.75, 0, 13, 15, 7
5.25, 7, 0, 0, 14
10.0, 6, 8, 13, 13
8.5, 14, 7, 13, 0
10.0, 6, 20, 0, 14
7.0, 7, 7, 0, 14
11.75, 14, 12, 7, 14
7.5, 0, 18, 6, 6
5.25, 0, 0, 14, 7
8.5, 0, 13, 14, 7
8.25, 6, 7, 7, 13
11.5, 0, 14, 12, 20
5.0, 0, 13, 0, 7
7.75, 0, 13, 18, 0
11.5, 0, 20, 20, 6
6.5, 0, 6, 7, 13
8.25, 13, 0, 13, 7
8.5, 14, 0, 13, 7
8.25, 0, 20, 0, 13
10.0, 0, 13, 13, 14
7.0, 0, 14, 7, 7
8.5, 0, 7, 13, 14
8.0, 6, 13, 0, 13
9.75, 26, 0, 13, 0
0.0, 0, 0, 0, 0
8.25, 0, 6, 13, 14
10.0, 7, 6, 13, 14
11.5, 0, 13, 20, 13
9.25, 0, 6, 13, 18
11.5, 6, 14, 20, 6
8.25, 0, 13, 14, 6
5.0, 0, 13, 0, 7
10.25, 20, 7, 7, 7
8.75, 14, 0, 7, 14
6.75, 14, 0, 7, 6
8.25, 13, 7, 6, 7
9.75, 12, 0, 13, 14
8.5, 21, 0, 0, 13
8.25, 13, 13, 0, 7
8.5, 14, 0, 7, 13
6.75, 14, 0, 6, 7
7.0, 14, 14, 0, 0
7.0, 22, 6, 0, 0
10.25, 20, 0, 14, 7
5.25, 0, 0, 7, 14
9.5, 12, 14, 12, 0
8.0, 12, 0, 13, 7
8.5, 7, 13, 7, 7
4.0, 0, 8, 0, 8
3.5, 0, 0, 7, 7
6.5, 13, 7, 6, 0
8.5, 13, 14, 0, 7
6.5, 13, 13, 0, 0
10.0, 20, 6, 7, 7
8.0, 0, 6, 12, 14
9.5, 18, 7, 6, 7
8.25, 13, 7, 7, 6
8.5, 0, 14, 20, 0
6.75, 20, 7, 0, 0
8.25, 13, 7, 7, 6
6.25, 0, 6, 13, 6
10.25, 0, 14, 14, 13
13.0, 14, 13, 25, 0
9.25, 18, 6, 0, 13
5.0, 7, 6, 0, 7
6.75, 0, 20, 0, 7
5.0, 7, 0, 7, 6
7.0, 7, 14, 7, 0
8.5, 0, 8, 13, 13
6.75, 7, 7, 0, 13
6.5, 6, 7, 13, 0
6.0, 6, 0, 12, 6
12.25, 22, 8, 13, 6
10.75, 0, 7, 7, 29
15.25, 12, 23, 6, 20
12.75, 0, 7, 23, 21
8.5, 6, 14, 7, 7
6.5, 13, 0, 13, 0
7.25, 7, 7, 7, 8
10.5, 12, 12, 12, 6
11.5, 0, 6, 20, 20
8.5, 14, 6, 14, 0
7.5, 6, 6, 0, 18
6.5, 7, 6, 0, 13
9.75, 13, 6, 13, 7
9.25, 0, 17, 7, 13
14.75, 7, 14, 18, 20
18.75, 9, 15, 28, 23
6.75, 13, 7, 0, 7
6.75, 14, 0, 0, 13
5.0, 13, 0, 0, 7
10.25, 0, 14, 13, 14
8.5, 0, 20, 7, 7
7.75, 0, 0, 13, 18
10.25, 0, 14, 14, 13
10.25, 14, 7, 7, 13
8.0, 12, 7, 0, 13
8.5, 6, 14, 0, 14
11.25, 7, 13, 7, 18
17.5, 23, 8, 23, 16
8.0, 6, 13, 13, 0
9.75, 6, 14, 7, 12
10.0, 6, 14, 20, 0
6.25, 13, 6, 0, 6
8.0, 13, 7, 6, 6
8.5, 0, 13, 7, 14
8.0, 12, 6, 7, 7
8.25, 14, 6, 0, 13
6.25, 18, 0, 0, 7
14.25, 6, 13, 13, 25
3.75, 0, 8, 0, 7
13.75, 7, 18, 30, 0
15.0, 25, 7, 14, 14
8.25, 6, 13, 14, 0
6.25, 13, 6, 0, 6
6.75, 0, 7, 13, 7
7.0, 7, 7, 7, 7
10.75, 20, 6, 0, 17
10.0, 20, 0, 13, 7
8.25, 13, 13, 0, 7
11.5, 13, 13, 7, 13
8.5, 14, 13, 0, 7
8.75, 8, 13, 0, 14
25.75, 23, 26, 26, 28
6.75, 7, 0, 6, 14
11.0, 6, 13, 12, 13
10.75, 12, 6, 18, 7
9.75, 0, 20, 13, 6
7.0, 0, 14, 0, 14
11.0, 7, 17, 13, 7
10.5, 0, 23, 13, 6
11.75, 20, 7, 7, 13
11.25, 25, 0, 7, 13
9.75, 14, 12, 13, 0
10.75, 13, 6, 18, 6
8.75, 14, 14, 7, 0
5.5, 0, 7, 7, 8
13.25, 6, 13, 20, 14
8.25, 13, 14, 0, 6
10.0, 0, 18, 15, 7
9.5, 0, 18, 13, 7
6.75, 6, 0, 7, 14
7.25, 0, 6, 11, 12
7.25, 15, 0, 7, 7
9.25, 7, 18, 6, 6
10.0, 7, 12, 7, 14
7.0, 14, 7, 7, 0
25.0, 33, 26, 26, 15
9.75, 7, 0, 14, 18
8.25, 13, 13, 7, 0
9.75, 14, 6, 13, 6
6.75, 0, 13, 14, 0
11.75, 14, 13, 13, 7
9.75, 7, 12, 20, 0
10.0, 20, 6, 14, 0
9.5, 13, 7, 12, 6
8.25, 7, 6, 6, 14
8.0, 6, 13, 6, 7
12.25, 21, 14, 14, 0
24.0, 37, 15, 23, 21
11.75, 7, 13, 14, 13
10.0, 0, 20, 7, 13
7.25, 0, 15, 14, 0
7.75, 7, 7, 0, 17
6.5, 7, 13, 6, 0
6.75, 13, 0, 14, 0
12.75, 13, 25, 13, 0
9.25, 13, 18, 0, 6
6.75, 7, 14, 0, 6
8.0, 6, 12, 7, 7
